,Player,Season,MIPFlag,Age,Pos,G,MP,MP_per_game,FG,FT,FG_Perc,3P_Perc,eFG_Perc,FT_Perc,TRB,AST,STL,BLK,PS_per_game,USG_Perc,year_no
4950,Mahmoud Abdul-Rauf,2000,0.0,31,6,10.0,-44.0,-5.200000000000001,-0.3999999999999999,0.0,0.111,0.12500000000000006,0.11,-0.24100000000000002,-0.6,0.0,-0.3,0.0,-0.7999999999999998,1.6999999999999993,9.0
443,Mark Acres,1991,0.0,29,0,0.0,-387.0,-5.700000000000001,-0.5,-0.2,0.008000000000000007,0.0,0.008000000000000007,0.10799999999999987,-1.5999999999999996,-0.10000000000000003,0.0,-0.2,-1.1,0.2999999999999989,2.0
903,Mark Acres,1992,0.0,30,0,-50.0,-657.0,1.3000000000000007,0.2999999999999998,-0.20000000000000007,0.014000000000000012,0.16700000000000004,0.02100000000000002,-0.07299999999999995,0.0,0.0,-0.2,0.09999999999999998,0.5,1.4000000000000004,3.0
444,Michael Adams,1991,0.0,29,6,12.0,449.0,0.2999999999999972,-2.3,-3.0,-0.0010000000000000009,0.02799999999999997,-0.00899999999999995,-0.009999999999999898,0.10000000000000007,-2.9000000000000004,-0.3000000000000003,0.0,-8.399999999999999,-4.300000000000002,2.0
906,Michael Adams,1992,0.0,30,6,-8.0,-296.0,-0.09999999999999433,-1.0,-0.6000000000000001,0.04600000000000004,-0.003000000000000003,0.035999999999999976,-0.013000000000000124,-0.6000000000000001,-0.09999999999999963,-0.5,0.0,-3.3000000000000007,-5.0,3.0
1350,Michael Adams,1993,0.0,31,6,0.0,-162.0,-2.3000000000000043,-1.1000000000000003,-0.19999999999999973,-0.031000000000000024,-0.032999999999999974,-0.03200000000000003,-0.026000000000000027,-0.7999999999999998,-0.5999999999999996,0.0,0.0,-2.700000000000001,-1.099999999999998,4.0
1833,Michael Adams,1994,0.0,32,6,-41.0,-1894.0,-18.1,-1.7999999999999998,-2.3000000000000003,0.044999999999999984,0.06999999999999995,0.10300000000000008,0.003000000000000003,-1.6,-3.6000000000000005,-0.5999999999999999,-0.1,-5.6,1.5,5.0
2282,Michael Adams,1995,0.0,33,6,-8.0,-114.0,0.3999999999999986,-0.4999999999999998,0.29999999999999993,-0.006999999999999951,-0.01699999999999996,-0.02100000000000002,-0.08999999999999997,0.0,-0.09999999999999963,0.2,0.2,-1.0999999999999996,-2.6000000000000014,6.0
446,Mark Aguirre,1991,0.0,32,9,-3.0,-424.0,-4.599999999999998,-0.9000000000000004,-1.0,-0.031000000000000024,-0.09699999999999998,-0.034999999999999976,-0.06999999999999995,-1.6999999999999995,-0.10000000000000007,0.09999999999999998,-0.2,-2.8999999999999986,1.900000000000002,2.0
908,Mark Aguirre,1992,0.0,33,9,-24.0,-526.0,-0.4000000000000021,-0.7999999999999998,-0.20000000000000015,0.011999999999999957,0.14999999999999994,0.03899999999999998,0.07999999999999996,-0.10000000000000007,0.4000000000000001,-0.4,0.0,-1.4000000000000004,-5.400000000000002,3.0
1351,Mark Aguirre,1993,0.0,34,9,-12.0,-197.0,1.3000000000000007,0.5,-0.5999999999999999,0.025000000000000026,0.036999999999999984,0.04300000000000004,-0.07299999999999995,0.0,0.6000000000000001,0.2,0.1,0.6999999999999993,-0.5999999999999979,4.0
447,Danny Ainge,1991,0.0,32,12,1.0,-115.0,-1.6999999999999993,-0.5,-0.09999999999999988,-0.030000000000000027,-0.06700000000000006,-0.042999999999999934,-0.0019999999999998908,-0.8,-1.1,0.09999999999999998,0.0,-1.4000000000000004,-0.3000000000000007,2.0
909,Danny Ainge,1992,0.0,33,12,-1.0,568.0,7.300000000000002,0.5,0.2,0.020000000000000014,0.064,0.06399999999999995,0.02399999999999991,0.9000000000000001,0.7999999999999998,0.0,-0.1,2.1000000000000014,-3.1999999999999997,3.0
1352,Danny Ainge,1993,0.0,34,12,-12.0,-608.0,-4.100000000000001,-0.9000000000000004,-0.3999999999999999,-0.044999999999999984,-0.07500000000000001,-0.0719999999999999,-0.018000000000000016,-0.8000000000000003,-0.6999999999999997,-0.09999999999999998,0.0,-2.9000000000000004,0.5,4.0
1835,Danny Ainge,1994,0.0,35,12,6.0,-181.0,-4.299999999999997,-0.6999999999999997,0.2999999999999998,0.04299999999999998,0.03600000000000003,0.06,-0.02200000000000002,-0.3999999999999999,0.19999999999999973,-0.20000000000000007,0.0,-1.2000000000000002,-0.1999999999999993,5.0
449,Greg Anderson,1991,0.0,27,3,14.0,1869.0,20.5,3.0,1.1,0.026000000000000027,0.0,0.026000000000000027,0.10099999999999998,6.8,0.8,0.6000000000000001,0.10000000000000007,7.2,0.8000000000000007,2.0
1358,Greg Anderson,1993,0.0,29,3,-5.0,-1169.0,-13.0,-2.1,-0.8999999999999999,0.08699999999999991,0.333,0.08900000000000002,-0.051999999999999935,-4.1,-0.30000000000000004,-0.4000000000000001,0.09999999999999998,-5.1,-2.8000000000000007,3.0
1838,Greg Anderson,1994,0.0,30,3,-26.0,-1002.0,-8.900000000000002,-1.5,-0.4000000000000001,0.0050000000000000044,-0.333,0.002999999999999892,-0.09200000000000008,-3.7,-0.4,-0.2,-0.30000000000000004,-3.5000000000000004,-2.1000000000000014,4.0
2289,Greg Anderson,1995,0.0,31,3,-5.0,-278.0,-4.699999999999998,-0.6000000000000001,-0.6,-0.03699999999999992,0.0,-0.03699999999999992,-0.239,-1.5,-0.09999999999999998,-0.3,-0.09999999999999998,-1.7,-1.6999999999999993,5.0
2836,Greg Anderson,1996,0.0,32,0,36.0,1315.0,12.7,1.1,0.7000000000000001,-0.015000000000000013,0.0,-0.015000000000000013,0.4270000000000001,3.3,0.2,0.6000000000000001,0.30000000000000004,2.7,0.0,6.0
3408,Greg Anderson,1997,0.0,33,0,-32.0,-1261.0,-12.2,-0.9000000000000001,-0.5,-0.05199999999999999,0.0,-0.05199999999999999,-0.27699999999999997,-3.1,-0.10000000000000003,-0.4,-0.6000000000000001,-2.1,3.0,7.0
451,Nick Anderson,1991,0.0,24,12,-10.0,232.0,8.500000000000004,2.3,0.8999999999999999,-0.004000000000000059,0.06,0.0,-0.00099999999999989,0.9000000000000004,1.2000000000000002,0.5,0.0,5.799999999999999,2.1000000000000014,2.0
913,Nick Anderson,1992,0.0,25,12,19.0,717.0,0.2999999999999972,-0.5,0.3999999999999999,-0.013999999999999957,0.0,0.0050000000000000044,0.07399999999999995,-0.4000000000000004,0.6999999999999997,0.0,0.09999999999999998,0.0,0.0,3.0
1360,Nick Anderson,1993,0.0,26,12,2.0,-109.0,-2.299999999999997,-1.2999999999999998,-1.6999999999999995,0.02899999999999997,-0.03099999999999997,0.043999999999999984,-0.06899999999999995,-0.09999999999999963,0.20000000000000015,0.09999999999999988,-0.29999999999999993,-4.099999999999998,-4.300000000000002,4.0
1840,Nick Anderson,1994,0.0,27,12,-5.0,-223.0,-0.6000000000000014,-0.4000000000000004,-0.20000000000000015,-0.0019999999999999467,0.09299999999999996,0.04699999999999993,0.03200000000000003,-1.5,0.4999999999999996,-0.09999999999999988,-0.10000000000000003,0.0,-1.099999999999998,5.0
2293,Nick Anderson,1995,0.0,28,12,1.0,129.0,1.1999999999999955,-0.5999999999999996,0.3000000000000003,-0.03400000000000003,-0.02399999999999997,-0.037999999999999916,-0.012000000000000009,1.0,-0.4999999999999996,0.0,0.3,-1.1000000000000014,0.0,6.0
2838,Nick Anderson,1996,0.0,29,12,-14.0,-554.0,-1.0,-0.6000000000000005,-1.6,-0.044999999999999984,-0.038000000000000034,-0.039000000000000035,-0.2880000000000001,-0.6000000000000005,-0.7000000000000002,0.2999999999999998,-0.09999999999999998,-2.6999999999999997,-0.9000000000000021,7.0
3412,Nick Anderson,1997,0.0,30,9,-5.0,-462.0,-4.9999999999999964,1.3000000000000007,1.6,0.058,0.007000000000000006,0.010000000000000007,0.23400000000000004,0.2999999999999998,-0.7999999999999998,-0.7,-0.09999999999999998,3.3000000000000007,6.800000000000002,8.0
3954,Nick Anderson,1998,0.0,31,9,-11.0,-120.0,4.300000000000002,-0.5,-0.10000000000000007,-0.06,-0.012999999999999956,-0.03600000000000003,-0.027000000000000024,0.8000000000000007,-0.20000000000000015,0.2,-0.10000000000000003,-0.4000000000000004,-2.1999999999999997,9.0
4464,Nick Anderson,1999,0.0,32,12,25.0,513.0,-4.5,-1.1000000000000003,-1.6,-0.0040000000000000036,-0.015000000000000013,0.006000000000000061,-0.12399999999999994,-1.2000000000000002,-0.2,-0.09999999999999988,-0.09999999999999998,-4.1,-4.699999999999998,10.0
4962,Nick Anderson,2000,0.0,33,12,-51.0,-1925.0,-21.1,-3.6,-0.5,-0.145,-0.07600000000000001,-0.14300000000000007,-0.487,-3.5,-1.1,-0.8,0.0,-9.0,-1.400000000000002,11.0
5500,Nick Anderson,2001,0.0,34,12,-6.0,50.0,6.6,0.7,0.3,0.03,0.015000000000000013,0.02900000000000008,0.556,1.0000000000000002,0.30000000000000004,-0.09999999999999998,0.2,2.2,2.8000000000000007,12.0
452,Ron Anderson,1991,0.0,33,9,0.0,92.0,1.1999999999999993,-0.5,-0.30000000000000004,-0.01999999999999996,0.12200000000000005,-0.0040000000000000036,0.04400000000000004,-1.1,0.20000000000000015,0.2,-0.1,-0.9000000000000004,-1.6999999999999993,2.0
914,Ron Anderson,1992,0.0,34,9,-13.0,-1169.0,-11.4,-2.4000000000000004,-0.7,-0.05100000000000005,-0.0060000000000000045,-0.036999999999999984,-0.06799999999999995,-0.6999999999999997,-0.30000000000000004,-0.6,0.0,-5.6,0.10000000000000142,3.0
